# host=Phytium-Pi
# captured_at=2026-03-30T15:19:36+08:00
top - 15:19:36 up 11 days, 21:19,  1 user,  load average: 0.80, 0.50, 0.19
任务: 229 total,   1 running, 228 sleeping,   0 stopped,   0 zombie
%Cpu(s):  1.4 us,  2.8 sy,  0.0 ni, 95.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   3461.3 total,    255.4 free,   1811.8 used,   1394.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1352.5 avail Mem 

 进程号 USER      PR  NI    VIRT    RES    SHR    %CPU  %MEM     TIME+ COMMAND
    263 systemd+  20   0   90672   5760   4944 S   0.0   0.2   0:02.08 systemd-timesyn
    266 systemd+  20   0   25596  12196   7120 S   0.0   0.3   3:24.94 systemd-resolve
    356 root      20   0  244528  10108   6008 S   0.0   0.3   0:24.28 accounts-daemon
    369 avahi     20   0    7172   3156   2732 S   0.0   0.1   0:31.90 avahi-daemon
    380 root      20   0   14064   2520   2268 S   0.0   0.1   0:01.85 cron
    382 message+  20   0    9476   5352   3232 S   0.0   0.2  10:41.12 dbus-daemon
    383 root      20   0  884524  16656  12292 S   0.0   0.5  25:27.01 NetworkManager
    389 root      20   0   43240  17332   8436 S   0.0   0.5   0:00.58 networkd-dispat
    391 root      20   0  236156   9560   6044 S   0.0   0.3   0:11.67 polkitd
    393 syslog    20   0  221268   4460   2772 S   0.0   0.1   0:16.47 rsyslogd
    399 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    403 root      20   0   17088   6304   5352 S   0.0   0.2   0:03.16 systemd-logind
    404 root      20   0  392484  10556   8104 S   0.0   0.3   0:01.27 udisksd
    405 root      20   0   12896   7188   6028 S   0.0   0.2   0:35.96 wpa_supplicant
    409 avahi     20   0    6896    328      0 S   0.0   0.0   0:00.00 avahi-daemon
    418 root      20   0    1968    488    432 S   0.0   0.0   0:00.03 rtk_hciattach
    467 root      20   0    8124   3940   3492 S   0.0   0.1   0:00.06 bluetoothd
    501 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rtw88_sdio: tx
    528 root      20   0   13920   1744   1488 S   0.0   0.0   0:48.13 init_pwm_fan.sh
    533 root      20   0 1253340  64024  11912 S   0.0   1.8  10:52.69 tailscaled
    534 root      20   0  121264  18304  10168 S   0.0   0.5   0:00.41 unattended-upgr
    539 root      20   0 2007704  25572   3532 S   0.0   0.7   4:23.44 containerd
    544 root      20   0  244336  10636   6712 S   0.0   0.3   0:00.33 ModemManager
    549 root      20   0  306216   9108   5316 S   0.0   0.3   0:00.43 lightdm
    562 root      20   0   12232   5952   5064 S   0.0   0.2   0:24.42 sshd
    593 root      20   0  914792 154876  44232 S   0.0   4.4  10:22.69 Xorg
    741 rtkit     21   1  152516   2740   2496 S   0.0   0.1   0:09.18 rtkit-daemon
    767 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
    897 root      20   0  162232   7460   5932 S   0.0   0.2   0:00.18 lightdm
   1244 root      20   0 2040896  33884   4776 S   0.0   1.0   3:05.32 dockerd
   1247 root      20   0    2060    676    576 S   0.0   0.0  14:12.43 rc.local
   1249 whoopsie  20   0  252924  12412  10520 S   0.0   0.4   0:00.16 whoopsie
   1255 kernoops  20   0   11468   2404   1932 S   0.0   0.1   0:26.53 kerneloops
   1258 root      20   0   12532   1864   1752 S   0.0   0.1   0:00.00 agetty
   1260 kernoops  20   0   11468   2504   2032 S   0.0   0.1   0:26.68 kerneloops
   1263 root      20   0   12760   1336   1228 S   0.0   0.0   0:00.00 agetty
   2393 user      20   0   18908   8024   6204 S   0.0   0.2   0:00.42 systemd
   2394 user      20   0  169808   4852   1680 S   0.0   0.1   0:00.00 (sd-pam)
   2403 user       9 -11  700460  11320   6844 S   0.0   0.3   0:00.29 pulseaudio
   2406 user      20   0  245488   6356   5272 S   0.0   0.2   0:00.07 gnome-keyring-d
   2411 user      20   0    8584   4440   3108 S   0.0   0.1   8:59.05 dbus-daemon
   2415 user      20   0  246156  11892   8468 S   0.0   0.3   0:00.27 kwalletd5
   2416 user      20   0  272452  18020   9812 S   0.0   0.5   0:03.45 xfce4-session
