# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-30T15:17:30+08:00
# started_remote=2026-03-30T15:17:30+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 2  0      0  95864 524604 901872    0    0   180    80 1309 1284 40 10 49  0  0
 2  0      0  92616 524604 902428    0    0   144     0 1242 1228 41 10 49  0  0
 2  0      0  92856 524604 903084    0    0   180     0 1096 1014 40 11 49  0  0
 2  0      0  91104 524608 903568    0    0   144  2364 1163 1079 40 11 49  0  0
 2  0      0  90348 524608 904296    0    0   180     0 1111 1061 40 11 49  0  0
 2  0      0  89592 524608 904816    0    0   144   104 1489 1559 40 10 49  0  0
 2  0      0  90080 524608 905500    0    0   180     0 1027  902 39 11 50  0  0
 2  0      0  89332 524612 906052    0    0   144     0 1621 1767 42  9 49  0  0
 2  0      0  88340 524612 906584    0    0   144     0 1140 1104 40 11 49  0  0
 1  0      0  90912 523808 904292    0    0    72  2160 1080 1059 31 12 55  3  0
 0  0      0 263684 523656 903796    0    0   980    96 1293 1635 20  2 76  1  0
 0  0      0 263684 523656 903796    0    0     0     0  735 1251  0  0 100  0  0
 0  0      0 263684 523656 903796    0    0     0     0  551  959  0  0 100  0  0
 0  0      0 263432 523656 903796    0    0     0     0  578  969  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 263432 523656 903796    0    0     0  2336  753 1259  1  0 99  0  0
 0  0      0 263432 523656 903796    0    0     0     0  964 1534  0  0 100  0  0
 0  0      0 263180 523656 903796    0    0     0    84  635 1091  0  0 99  0  0
 0  0      0 263180 523656 903796    0    0     0     0  811 1336  0  0 99  0  0
 0  0      0 263180 523656 903796    0    0     0     0  500  896  0  0 100  0  0
 0  0      0 263148 523656 903796    0    0     0  2168  517  889  0  0 100  0  0
 0  0      0 263084 523656 903796    0    0     0     0 3231 4923  1  1 99  0  0
 0  0      0 263084 523656 903796    0    0     0     0 1033 1502  0  0 99  0  0
