# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-12T15:21:42+08:00
# started_remote=2026-03-12T15:21:42+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 13191852   6984 697780    0    0     0   104  904 1320  0  1 98  1  0  0
 0  0      0 13194372   6984 697784    0    0     0     0 1856 3274  1  1 98  0  0  0
 0  0      0 13193676   6984 697816    0    0     0     4 1003 1298  1  0 99  0  0  0
 0  0      0 13195188   6984 697832    0    0     0    28 1540 2708  2  1 97  0  0  0
 0  0      0 13191968   6984 697832    0    0     0    28 1892 2497  1  1 98  0  0  0
 0  0      0 13179848   6992 697852    0    0     0   124 1985 3376  1  1 97  1  0  0
 0  0      0 13178340   6992 697852    0    0     0     0 1197 1781  1  1 98  0  0  0
 0  0      0 13165280   6992 697860    0    0     0     0 1926 2994  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13166788   6996 697880    0    0     4    52 1267 1680  1  0 98  0  0  0
 0  0      0 13148936   7136 703624    0    0  5892    20 3181 5044  7  2 91  0  0  0
 0  0      0 13148916   7144 703684    0    0     0   176 1189 1450  0  1 97  1  0  0
 0  0      0 13148720   7144 703684    0    0     0     4 2057 3110  0  1 99  0  0  0
 0  0      0 13147720   7144 703692    0    0    20    76 1172 1466  0  0 99  0  0  0
 1  0      0 13148028   7144 703732    0    0     0     0 1188 1860  0  0 99  0  0  0
 0  0      0 13146772   7144 703732    0    0     0     0 1287 1745  0  1 99  0  0  0
 0  0      0 13145800   7152 703724    0    0     0   120  950 1130  0  1 99  1  0  0
 0  0      0 13145796   7152 703752    0    0     0     0 1469 2519  0  1 99  0  0  0
 0  0      0 13145800   7152 703752    0    0     0     0  384  512  0  0 100  0  0  0
 0  0      0 13145800   7152 703772    0    0     0   124 1505 2397  0  0 99  0  0  0
 0  0      0 13144288   7152 703800    0    0     0    28 1126 1678  0  0 99  0  0  0
 0  0      0 13145044   7160 703816    0    0     0    84 1355 2344  0  1 98  1  0  0
 0  0      0 13144792   7160 703816    0    0     0     4  303  370  0  0 100  0  0  0
 1  0      0 13142560   7160 703812    0    0     0     0 1400 2949  1  1 99  0  0  0
 0  0      0 13142308   7160 703828    0    0     0     0 1110 1599  2  1 97  0  0  0
 0  0      0 13141260   7160 703832    0    0     0     0 1720 3278  1  1 98  0  0  0
 1  0      0 13131932   7168 703824    0    0     0    56  395  714  0  0 99  0  0  0
 0  0      0 13121600   7168 703844    0    0     0     0 1466 2919  1  1 99  0  0  0
 1  0      0 13120116   7168 703868    0    0     0     0 1617 2216  0  1 99  0  0  0
 0  1      0 13116868   7168 703916    0    0     0    88 2235 3443  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13101496   7168 703920    0    0     0   384  950 1288  0  1 99  0  0  0
 0  0      0 13098992   7176 703916    0    0     0   100 1479 2914  1  0 98  1  0  0
 0  0      0 13099228   7176 703952    0    0     0     0  642 1003  0  0 100  0  0  0
 1  0      0 13098468   7176 703952    0    0     0     0 1600 2938  1  1 99  0  0  0
 0  0      0 13094212   7180 704044    0    0     0     0 4127 7429  1  2 97  0  0  0
 1  0      0 13093180   7180 704028    0    0     0     8 2453 3942  1  1 98  0  0  0
 0  1      0 13093940   7188 704032    0    0     0   104  666  957  1  0 98  1  0  0
 1  0      0 13094192   7188 704028    0    0     0     0 1284 2805  0  1 99  0  0  0
 1  0      0 13093688   7188 704044    0    0     0     0  685 1143  0  0 99  0  0  0
 0  0      0 13092692   7316 704120    0    0   128     0 3205 5905  1  1 98  0  0  0
 0  0      0 13096008   7316 704104    0    0     0     4 1012 1383  1  0 99  0  0  0
 0  0      0 13096520   7324 704100    0    0     0   112 1526 2757  1  1 98  0  0  0
 0  0      0 13096764   7324 704100    0    0     0     0  425  817  0  0 99  0  0  0
 0  0      0 13096008   7324 704128    0    0     0     0 1954 3373  1  1 99  0  0  0
 0  0      0 13096008   7324 704128    0    0     0    60  824 1227  1  0 99  0  0  0
 1  0      0 13095000   7324 704144    0    0     0    60 1964 3231  1  1 99  0  0  0
 0  0      0 13095012   7332 704160    0    0     0    84  684  995  1  0 99  0  0  0
 0  0      0 13095012   7332 704164    0    0     0     0  553  874  0  0 99  0  0  0
 1  0      0 13092244   7332 704268    0    0    28     0 3330 5054  1  1 97  0  0  0
 0  0      0 13092244   7332 704268    0    0     0     0  888 1176  1  0 99  0  0  0
 0  0      0 13090996   7332 704308    0    0     0   428 2143 3427  1  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13090996   7340 704316    0    0     0    80  546  886  0  0 99  0  0  0
 0  0      0 13090744   7340 704316    0    0     0     0 1639 2883  0  1 99  0  0  0
 1  0      0 13090240   7340 704316    0    0     0     0  762 1249  1  0 99  0  0  0
 0  0      0 13089736   7340 704336    0    0     0     0 2071 3190  1  1 99  0  0  0
 0  0      0 13086608   7340 704340    0    0     0     0 1180 1638  1  1 99  0  0  0
 0  0      0 13085376   7348 704332    0    0     0    48 1818 2857  0  1 98  1  0  0
 0  0      0 13085124   7348 704340    0    0     0     0  539  863  1  0 99  0  0  0
 1  0      0 13084872   7348 704348    0    0     0     0 1508 3075  0  1 99  0  0  0
 1  0      0 13084620   7352 704356    0    0     8     0  952 1418  1  0 99  0  0  0
 1  0      0 13085132   7352 704356    0    0     0     0 2112 3371  1  1 98  0  0  0
 1  0      0 13084872   7360 704344    0    0     0    44  688 1096  0  0 98  1  0  0
 0  0      0 13084368   7360 704356    0    0     0     0 1428 2771  0  1 99  0  0  0
 1  0      0 13084372   7360 704356    0    0     0     0  884 1421  1  0 99  0  0  0
 0  0      0 13084624   7360 704352    0    0     0     0 2159 3387  1  1 99  0  0  0
 0  0      0 13084652   7360 704340    0    0     0     0 1212 1714  1  0 99  0  0  0
 0  0      0 13088880   7368 704328    0    0     0   112 1603 2984  1  1 99  0  0  0
 0  0      0 13053956   7368 704360    0    0     0    16 1040 1652  2  1 97  0  0  0
 5  0      0 13006808   7368 704668    0    0   292    16 2820 4807  4  2 94  1  0  0
 0  0      0 13059740   7368 704708    0    0     0     0 1051 1220  2  1 97  0  0  0
 1  0      0 13058484   7368 704704    0    0     0     4 1760 2961  0  1 99  0  0  0
 0  0      0 13059000   7376 704696    0    0     0   120  708  820  0  0 98  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 13058500   7376 704744    0    0     0     0 1274 2392  0  1 99  0  0  0
 0  0      0 13058500   7376 704744    0    0     0    56  362  521  0  0 100  0  0  0
 0  0      0 13058248   7376 704744    0    0     0     0 1294 2540  0  1 99  0  0  0
 0  0      0 13057996   7376 704748    0    0     0     0  357  481  0  0 100  0  0  0
 1  0      0 13053460   7384 704820    0    0     0    96 1486 2273  1  1 97  1  0  0
 0  0      0 13053460   7384 704824    0    0     0     0 1206 2074  0  0 99  0  0  0
 0  0      0 13053460   7384 704824    0    0     0     0  387  575  0  0 100  0  0  0
 0  0      0 13052704   7384 704852    0    0     0     0 1503 2585  0  1 99  0  0  0
 0  0      0 13052956   7384 704856    0    0     0     0  348  502  0  0 100  0  0  0
 0  0      0 13053208   7392 704848    0    0     0   348 1543 2529  0  1 98  2  0  0
 0  0      0 13053208   7392 704852    0    0     0     0  399  603  0  0 100  0  0  0
 0  0      0 13052704   7392 704832    0    0     0     0 1659 2734  0  1 99  0  0  0
 0  0      0 13053472   7392 704836    0    0     0     0  350  479  0  0 100  0  0  0
 0  0      0 13054456   7392 704836    0    0     0     0 1539 2558  0  1 99  0  0  0
 0  0      0 13017028   7400 704840    0    0     0   232  877 1430  2  1 96  1  0  0
 0  0      0 13017540   7400 704840    0    0     0     0 2270 3513  1  1 99  0  0  0
 0  0      0 13018036   7400 704840    0    0     0    64  756 1012  0  0 100  0  0  0
 0  0      0 13016272   7400 704856    0    0     0     0 1813 2968  1  1 98  0  0  0
 0  0      0 13016272   7400 704856    0    0     0     0  473  630  0  0 100  0  0  0
 0  1      0 13016020   7408 704856    0    0     0    52 1363 2452  0  1 97  2  0  0
 0  0      0 13014524   7408 705044    0    0   128     0 2025 2559  0  1 98  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13013264   7408 705060    0    0     0     0 1897 2970  0  1 99  0  0  0
 0  0      0 13014020   7408 705096    0    0     0     0  452  652  0  0 100  0  0  0
 0  0      0 13013516   7408 705096    0    0     0     0 1334 2513  0  1 99  0  0  0
 0  0      0 13013516   7416 705088    0    0     0    48  290  444  0  0 99  1  0  0
 0  0      0 13014272   7416 705108    0    0     0     0 1366 2492  0  0 99  0  0  0
 1  0      0 13014272   7416 705108    0    0     0     0  448  538  0  0 100  0  0  0
 0  0      0 13012520   7416 705168    0    0     0     0 2066 3141  0  1 99  0  0  0
 0  0      0 13012296   7416 705168    0    0     0     0  431  496  0  0 100  0  0  0
 0  0      0 13012800   7424 705172    0    0     0    52 1511 2404  0  1 99  1  0  0
 0  0      0 13012800   7424 705172    0    0     0     0  394  555  0  0 100  0  0  0
 0  0      0 13012572   7424 705196    0    0     0     0 1547 2591  0  1 99  0  0  0
 0  0      0 13012800   7424 705200    0    0     0     0  352  545  0  0 100  0  0  0
 1  0      0 13012296   7424 705200    0    0     0     0  842 1410  0  0 99  0  0  0
 0  0      0 13012296   7432 705200    0    0     0    48  911 1451  0  0 98  1  0  0
 1  0      0 13009068   7456 705244    0    0   136   348 1881 2657  0  1 99  0  0  0
 0  0      0 13009776   7456 705456    0    0     0     0 1432 2497  0  1 99  0  0  0
 2  0      0 13009776   7464 705448    0    0    28    64  505  733  0  0 100  0  0  0
 0  0      0 13009792   7464 705484    0    0     0     4 1333 2730  0  1 99  0  0  0
 0  0      0 13010028   7464 705464    0    0     0     0  493  562  0  0 100  0  0  0
 0  0      0 13008792   7464 705500    0    0     0   136 1492 2667  0  1 99  0  0  0
 2  0      0 13008792   7464 705500    0    0     0     0  404  478  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13008036   7472 705492    0    0     0   116 1594 2589  0  1 99  0  0  0
 0  0      0 13014924   7480 705488    0    0     0    36  763 1046  0  0 99  1  0  0
 0  0      0 13012908   7480 705492    0    0     0     0 1521 2530  0  1 99  0  0  0
 0  0      0 13012908   7480 705500    0    0     0   124  406  587  0  0 100  0  0  0
 0  0      0 13040292   7480 705536    0    0     0    12 2062 3489  5  2 94  0  0  0
 0  0      0 13041412   7480 705544    0    0     0     0  908  936  0  1 99  0  0  0
 0  0      0 13040404   7488 705536    0    0     0   148 1017 2142  0  1 99  0  0  0
 0  0      0 13040404   7488 705544    0    0     0     0  192  290  0  0 100  0  0  0
 0  0      0 13039900   7488 705540    0    0     0   108 1126 2156  0  1 99  0  0  0
 0  0      0 13040152   7488 705540    0    0     0     0  205  320  0  0 100  0  0  0
 0  0      0 13039144   7488 705540    0    0     0     0 1134 2187  0  1 99  0  0  0
 0  0      0 13039396   7496 705532    0    0     0    48  242  348  0  0 99  1  0  0
 0  0      0 13038640   7496 705508    0    0     0     0 1071 2156  0  0 99  0  0  0
 0  0      0 13038640   7496 705508    0    0     0     0  179  284  0  0 100  0  0  0
 0  0      0 13038136   7504 705500    0    0     0    44 1213 2309  0  1 99  0  0  0
 0  0      0 13038524   7504 705516    0    0     0     0  309  426  0  0 100  0  0  0
 0  0      0 13038776   7504 705512    0    0     0    68 1299 2226  0  1 99  0  0  0
 0  0      0 13019752   7504 705520    0    0     0    12  736 1342  2  0 98  0  0  0
 0  0      0 13018108   7504 705520    0    0     0     0 2186 3405  0  1 98  0  0  0
 0  0      0 13016744   7512 705552    0    0     0   124  742  962  0  0 99  0  0  0
 0  0      0 13015740   7512 705536    0    0     0     0 1111 2208  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 13015992   7512 705536    0    0     0     0  218  282  0  0 100  0  0  0
 1  0      0 13015740   7512 705536    0    0     0     0  931 1971  0  0 99  0  0  0
 0  0      0 13013472   7512 705536    0    0     0     0  875 1146  0  0 99  0  0  0
 0  0      0 13014228   7520 705540    0    0     0    36  647  861  0  0 99  0  0  0
 0  0      0 13013220   7520 705540    0    0     0     0 1106 2182  0  0 99  0  0  0
 0  0      0 13012968   7520 705544    0    0     0     0  220  355  0  0 100  0  0  0
 0  0      0 13012464   7520 705540    0    0     0     0 1260 2187  0  0 100  0  0  0
 0  0      0 13012716   7520 705536    0    0     0    12  185  289  0  0 100  0  0  0
 0  0      0 13012716   7528 705536    0    0     0    52 1300 2201  0  1 98  1  0  0
 0  0      0 13013472   7528 705536    0    0     0     0  310  438  0  0 100  0  0  0
 0  0      0 13014672   7528 705536    0    0     0     0 1159 2252  0  1 99  0  0  0
 1  0      0 13014784   7528 705532    0    0     0     0  205  345  0  0 100  0  0  0
 0  0      0 13014028   7536 705524    0    0     0    52 1125 2151  0  1 99  0  0  0
 1  0      0 13014028   7544 705520    0    0     0    56  219  351  0  0 100  0  0  0
 0  0      0 13013776   7544 705532    0    0     0     0 1060 2155  0  1 99  0  0  0
 1  0      0 13013776   7544 705532    0    0     0     0  338  544  0  0 100  0  0  0
 1  0      0 13013524   7544 705528    0    0     0     0 1117 2168  0  1 99  0  0  0
 1  0      0 13013776   7544 705516    0    0     0     0  218  376  0  0 100  0  0  0
 0  0      0 13009744   7552 705676    0    0   132   264 2417 4302  0  1 96  2  0  0
 1  0      0 13010256   7552 705676    0    0     0     0  297  358  0  0 100  0  0  0
 1  0      0 13010256   7552 705676    0    0    24    64 1261 2356  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 13010508   7552 705716    0    0     0     0  209  307  0  0 100  0  0  0
 1  0      0 13010256   7552 705712    0    0     0     0 1230 2129  0  0 99  0  0  0
 1  0      0 13010508   7560 705704    0    0     0    36  231  347  0  0 99  1  0  0
 1  0      0 13010508   7560 705696    0    0     0     0 1371 2219  0  1 99  0  0  0
 2  0      0 13010508   7560 705696    0    0     8     0  276  421  0  0 100  0  0  0
 0  0      0 13010508   7560 705708    0    0     0     0 1879 2964  0  1 99  0  0  0
 0  0      0 13010508   7560 705708    0    0     0     0  685  957  0  0 100  0  0  0
 0  0      0 13010508   7568 705708    0    0     0   264 1701 2660  0  1 98  1  0  0
 1  0      0 13010508   7568 705708    0    0     0     0  395  601  0  0 100  0  0  0
 1  0      0 13009752   7568 705708    0    0     0     0 1603 2595  0  1 99  0  0  0
 0  0      0 13009752   7568 705708    0    0     0     0  531  744  0  0 100  0  0  0
 1  0      0 13016452   7712 706476    0    0   884    12 2143 3331  2  1 97  0  0  0
 0  0      0 13014296   7724 706476    0    0     0   152 1012 1021  0  0 99  0  0  0
 1  0      0 13014136   7724 706476    0    0     0     0  397  355  0  0 100  0  0  0
 1  0      0 13013352   7724 706480    0    0     0     0 1095 2142  0  1 99  0  0  0
 1  0      0 13013352   7724 706476    0    0     0     0  222  375  0  0 100  0  0  0
 1  0      0 13016900   7724 706440    0    0     0     0 1333 2223  0  1 99  0  0  0
 0  1      0 13016900   7728 706440    0    0     0    40  284  478  0  0 100  0  0  0
 0  0      0 13015176   7732 706444    0    0     0     8 1345 2276  0  0 99  1  0  0
 0  0      0 13014348   7732 706440    0    0     0     0  251  396  0  0 100  0  0  0
 0  0      0 13014348   7732 706440    0    0     0     0 1280 2178  0  1 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12983276   7732 706448    0    0     0    12  834 1251  4  1 96  0  0  0
 1  1      0 12985040   7740 706456    0    0     0   156 1615 3209  1  1 98  0  0  0
 1  0      0 12983276   7740 706456    0    0     0     0  741  902  0  0 99  0  0  0
 1  0      0 12981764   7740 706464    0    0     0     0 1309 2171  0  1 99  0  0  0
 1  0      0 12981764   7740 706464    0    0     0     0  204  305  0  0 100  0  0  0
 0  0      0 12982016   7740 706464    0    0     0     0 1242 1966  1  1 98  0  0  0
 0  0      0 12981512   7740 706464    0    0     0     0  757 1021  0  0 99  0  0  0
 1  0      0 12980756   7748 706464    0    0     0    36 1777 2687  0  1 98  1  0  0
 1  0      0 12981008   7748 706464    0    0     0     0  250  359  0  0 100  0  0  0
 0  0      0 12980528   7748 706464    0    0     0     0 1346 2147  0  1 99  0  0  0
 0  0      0 12980756   7748 706464    0    0     0     0  188  304  0  0 100  0  0  0
 1  0      0 12980756   7748 706464    0    0     0     0 1299 2185  0  1 99  0  0  0
 0  0      0 12981512   7756 706464    0    0     0    40  253  335  0  0 99  0  0  0
 0  0      0 12981512   7756 706468    0    0     0     0 1243 2103  0  1 99  0  0  0
 0  0      0 12981512   7756 706464    0    0     0     0  261  398  0  0 100  0  0  0
 1  0      0 12982268   7756 706464    0    0     0     0 1277 2090  0  0 99  0  0  0
 0  0      0 12982268   7756 706464    0    0     0    56  214  311  0  0 100  0  0  0
 1  0      0 12982268   7764 706472    0    0     0   220 1458 2413  1  1 99  0  0  0
 0  0      0 12982268   7764 706472    0    0     0     0  198  272  0  0 100  0  0  0
 0  0      0 12982268   7764 706468    0    0     0     0 1157 2117  0  0 100  0  0  0
 0  0      0 12982268   7764 706468    0    0     0     0  244  338  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12981512   7764 706468    0    0     0     0 1263 2140  0  1 99  0  0  0
 1  0      0 12982016   7772 706460    0    0     0   264  258  333  0  0 99  1  0  0
 1  0      0 12981764   7772 706472    0    0     0     0  530  804  0  0 100  0  0  0
 0  0      0 12981764   7772 706468    0    0     0     0  961 1734  0  0 99  0  0  0
 0  0      0 12981764   7772 706468    0    0     0     0  211  314  0  0 100  0  0  0
 1  0      0 12981260   7772 706464    0    0     0     0 1349 2233  0  1 99  0  0  0
 1  0      0 12981260   7780 706468    0    0     0    36  293  412  0  0 99  1  0  0
 0  0      0 12981400   7780 706468    0    0     0     0 1153 2157  0  1 99  0  0  0
 0  0      0 12981400   7780 706468    0    0     0     0  187  282  0  0 100  0  0  0
 0  0      0 12981524   7780 706468    0    0     0     0 1015 2060  0  1 99  0  0  0
 0  0      0 12981524   7780 706468    0    0     0     0  208  315  0  0 100  0  0  0
 0  0      0 12980140   7788 706460    0    0     0    28 1033 2102  0  1 99  1  0  0
 0  0      0 12980140   7788 706472    0    0     0     4  249  346  0  0 100  0  0  0
 0  0      0 12980392   7788 706472    0    0     0     0 1036 2057  0  1 99  0  0  0
 0  0      0 12980168   7788 706468    0    0     0     0  219  327  0  0 100  0  0  0
 0  0      0 12979412   7788 706468    0    0     0     0  912 2020  0  1 99  0  0  0
 0  0      0 12979412   7796 706468    0    0     0    48  202  321  0  0 99  1  0  0
 0  0      0 12977900   7796 706468    0    0     0     0 1090 2141  0  1 99  0  0  0
 2  0      0 12977900   7796 706468    0    0     0     0  225  324  0  0 100  0  0  0
 0  0      0 12977648   7796 706468    0    0     0     0 1118 2168  0  1 99  0  0  0
 0  0      0 12977900   7796 706468    0    0     0     0  226  349  0  0 100  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12977900   7804 706468    0    0     0    28 1256 2318  0  1 98  1  0  0
 0  0      0 12977900   7804 706468    0    0     0     0  220  311  0  0 100  0  0  0
 0  0      0 12977648   7804 706464    0    0     0     0 1054 2089  0  0 99  0  0  0
 0  0      0 12977648   7804 706464    0    0     0     0  192  305  0  0 100  0  0  0
 0  0      0 12977648   7804 706464    0    0     0     0 1093 2135  0  1 99  0  0  0
 0  0      0 12977396   7820 706468    0    0     0   144  225  332  0  0 99  1  0  0
 0  0      0 12977144   7820 706472    0    0     0    64 1359 2218  0  1 99  0  0  0
 1  0      0 12977144   7820 706472    0    0     0     0  235  345  0  0 100  0  0  0
 1  0      0 12976640   7820 706472    0    0     0     0 1299 2129  0  1 99  0  0  0
 0  0      0 12976640   7820 706472    0    0     0     0  222  332  0  0 100  0  0  0
 1  0      0 12976388   7828 706464    0    0     0    56 1321 2171  0  1 99  1  0  0
 0  0      0 12976892   7828 706476    0    0     0     8  247  361  0  0 100  0  0  0
 1  0      0 12976640   7828 706472    0    0     0     0  937 1586  0  0 99  0  0  0
 0  0      0 12976388   7828 706472    0    0     0     0  560  887  0  0 100  0  0  0
 0  0      0 12976388   7828 706472    0    0     0     0  213  336  0  0 100  0  0  0
 0  0      0 12976892   7836 706472    0    0     0    48  947 2131  0  1 98  1  0  0
 0  0      0 12977152   7836 706472    0    0     0     0  226  342  0  0 100  0  0  0
 0  0      0 12976900   7836 706472    0    0     0     0 1068 2109  0  0 99  0  0  0
 0  0      0 12977264   7836 706472    0    0     0     0  219  344  0  0 100  0  0  0
 0  0      0 12976508   7836 706472    0    0     0     0 1033 2092  0  0 99  0  0  0
 0  0      0 12976508   7844 706476    0    0     0    28  222  344  0  0 99  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 12977016   7844 706480    0    0     0     0 1406 2575  0  1 99  0  0  0
 0  0      0 12977016   7844 706480    0    0     0     0  325  455  0  0 100  0  0  0
 0  0      0 12976512   7844 706476    0    0     0     0 1014 2058  0  1 99  0  0  0
 1  0      0 12976512   7844 706476    0    0     0     0  247  400  0  0 100  0  0  0
 1  0      0 12976512   7852 706468    0    0     0    44 1171 2105  0  1 99  1  0  0
 1  0      0 12976512   7852 706468    0    0     0     0  220  344  0  0 100  0  0  0
 0  0      0 12977520   7852 706476    0    0     0    76 1251 2130  0  1 99  0  0  0
 0  0      0 12977520   7852 706476    0    0     0     0  191  290  0  0 100  0  0  0
 0  0      0 12977016   7852 706480    0    0     0     0 1332 2240  0  1 99  0  0  0
 0  0      0 12977772   7860 706472    0    0     0    44  285  395  0  0 99  1  0  0
 0  0      0 12976764   7860 706484    0    0     0     0  902 2042  0  0 99  0  0  0
 0  0      0 12976776   7860 706468    0    0     0     0  246  356  0  0 100  0  0  0
 0  0      0 12976020   7860 706464    0    0     0     0 1290 2179  0  1 99  0  0  0
 1  0      0 12976020   7860 706464    0    0     0    56  226  366  0  0 100  0  0  0
 1  0      0 12976272   7868 706464    0    0     0    36 1303 2211  0  0 98  1  0  0
 0  0      0 12976272   7868 706464    0    0     0    16  200  314  0  0 100  0  0  0
 0  0      0 12975524   7868 706464    0    0     0     0 1284 2140  0  0 99  0  0  0
 1  0      0 12976020   7868 706464    0    0     0     0  216  349  0  0 100  0  0  0
 0  0      0 12976020   7868 706464    0    0     0     0 1075 2056  0  0 99  0  0  0
 0  0      0 12976020   7876 706456    0    0     0    48  220  343  0  0 99  0  0  0
 0  0      0 12976020   7876 706468    0    0     0    68 1098 2111  0  0 99  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 12976020   7876 706468    0    0     0     0  255  371  0  0 100  0  0  0
 1  0      0 12976028   7876 706464    0    0     0     0 1032 2074  0  0 99  0  0  0
 0  0      0 12976028   7876 706464    0    0     0     0  208  310  0  0 100  0  0  0
 0  0      0 13053264    608 641528    0    0   792    40  666 1042  0  1 98  0  0  0
 0  0      0 13050064    608 642604    0    0   832     4  912 1710  0  0 99  0  0  0
