mode,elapsed_ms,exit_code,start_at,end_at
baseline,216.436,0,2026-03-01T12:00:57+08:00,2026-03-01T12:00:57+08:00
current,116.511,0,2026-03-01T12:00:57+08:00,2026-03-01T12:00:57+08:00
