mode,elapsed_ms,exit_code,start_at,end_at
baseline,83.072,0,2026-03-01T12:18:07+08:00,2026-03-01T12:18:07+08:00
current,76.419,0,2026-03-01T12:18:07+08:00,2026-03-01T12:18:07+08:00
