mode,load_ms,vm_init_ms,run_median_ms,run_mean_ms,run_min_ms,run_max_ms,run_variance_ms2,run_count,exit_code,start_at,end_at
baseline,NA,NA,1835.7,1844.507,1832.0,2061.2,820.63328,300,0,2026-03-11T12:44:53+08:00,2026-03-11T12:55:03+08:00
current,3.72,2.844,152.782,152.868,152.283,153.854,0.185529,10,0,2026-03-11T12:55:03+08:00,2026-03-11T12:55:10+08:00
