mode,elapsed_ms,exit_code,start_at,end_at
baseline,801.478,0,2026-03-01T16:50:42+08:00,2026-03-01T16:50:43+08:00
current,1555.451,0,2026-03-01T16:50:43+08:00,2026-03-01T16:50:45+08:00
