mode,load_ms,vm_init_ms,run_median_ms,run_mean_ms,run_min_ms,run_max_ms,run_variance_ms2,run_count,exit_code,start_at,end_at
baseline,0.0,0.0,1829.3,2062.746,1826.5,3769.9,301107.564617,300,0,2026-04-04T18:33:02+08:00,2026-04-04T18:44:17+08:00
current,3.475,0.497,161.775,161.796,161.358,162.534,0.13321,10,0,2026-04-04T18:44:17+08:00,2026-04-04T18:44:23+08:00
