mode,load_ms,vm_init_ms,run_median_ms,run_mean_ms,run_min_ms,run_max_ms,run_variance_ms2,run_count,exit_code,start_at,end_at
baseline,NA,NA,1844.1,1844.585,1836.4,1933.4,41.640185,300,0,2026-03-11T11:48:30+08:00,2026-03-11T12:03:46+08:00
current,3.773,0.444,153.778,153.939,152.777,156.356,1.100888,10,0,2026-03-11T12:03:47+08:00,2026-03-11T12:03:54+08:00
