mode,elapsed_ms,exit_code,start_at,end_at
baseline,48.240,0,2026-03-01T11:36:09+08:00,2026-03-01T11:36:09+08:00
current,38.317,0,2026-03-01T11:36:09+08:00,2026-03-01T11:36:09+08:00
