mode,elapsed_ms,exit_code,start_at,end_at
baseline,129928.662,0,2026-03-01T20:26:04+08:00,2026-03-01T20:28:14+08:00
current,163140.347,0,2026-03-01T20:28:14+08:00,2026-03-01T20:30:57+08:00
