mode,elapsed_ms,exit_code,start_at,end_at
baseline,65.154,0,2026-03-01T21:32:00+08:00,2026-03-01T21:32:00+08:00
current,59.224,0,2026-03-01T21:32:00+08:00,2026-03-01T21:32:00+08:00
