mode,load_ms,vm_init_ms,run_median_ms,run_mean_ms,run_min_ms,run_max_ms,run_variance_ms2,run_count,exit_code,start_at,end_at
baseline,NA,NA,1846.9,1847.723,1842.6,1879.9,16.77982,300,0,2026-03-13T18:00:51+08:00,2026-03-13T18:11:07+08:00
current,3.763,1.089,130.219,130.168,129.424,130.607,0.150186,10,0,2026-03-13T18:11:07+08:00,2026-03-13T18:11:14+08:00
