mode,load_ms,vm_init_ms,run_median_ms,run_mean_ms,run_min_ms,run_max_ms,run_variance_ms2,run_count,exit_code,start_at,end_at
baseline,NA,NA,1834.1,1834.989,1828.8,1905.9,31.933538,300,0,2026-03-13T00:51:40+08:00,2026-03-13T01:01:35+08:00
current,2.602,0.456,234.219,233.862,195.181,471.033,384.752578,300,0,2026-03-13T01:01:35+08:00,2026-03-13T01:02:58+08:00
