mode,load_ms,vm_init_ms,run_median_ms,run_mean_ms,run_min_ms,run_max_ms,run_variance_ms2,run_count,exit_code,start_at,end_at
baseline,4.022,3.371,2555.383,2555.383,2555.383,2555.383,0.0,1,0,2026-03-08T17:53:55+08:00,2026-03-08T17:54:02+08:00
current,4.184,0.526,2511.961,2511.961,2511.961,2511.961,0.0,1,0,2026-03-08T17:54:02+08:00,2026-03-08T17:54:09+08:00
