mode,load_ms,vm_init_ms,run_median_ms,run_mean_ms,run_min_ms,run_max_ms,run_variance_ms2,run_count,exit_code,start_at,end_at
baseline,NA,NA,1833.5,1835.175,1830.2,1886.4,42.846625,300,0,2026-03-11T20:59:44+08:00,2026-03-11T21:09:53+08:00
current,3.968,2.943,NA,NA,NA,NA,0.0,0,0,2026-03-11T21:09:53+08:00,2026-03-11T21:11:20+08:00
