mode,load_ms,vm_init_ms,run_median_ms,run_mean_ms,run_min_ms,run_max_ms,run_variance_ms2,run_count,exit_code,start_at,end_at
baseline,0.0,0.0,1837.25,2064.856,1832.6,3798.4,300828.088527,300,0,2026-04-04T18:44:23+08:00,2026-04-04T18:55:35+08:00
current,NA,NA,NA,NA,NA,NA,NA,0,135,2026-04-04T18:55:35+08:00,2026-04-04T18:55:57+08:00
