mode,load_ms,vm_init_ms,run_median_ms,run_mean_ms,run_min_ms,run_max_ms,run_variance_ms2,run_count,exit_code,start_at,end_at
baseline,NA,NA,114.4,115.967,114.1,119.4,5.908889,3,0,2026-03-08T18:02:34+08:00,2026-03-08T18:02:34+08:00
current,NA,NA,NA,NA,NA,NA,NA,0,1,2026-03-08T18:02:35+08:00,2026-03-08T18:02:35+08:00
