mode,elapsed_ms,exit_code,start_at,end_at
baseline,1232.974,0,2026-03-01T11:12:04+08:00,2026-03-01T11:12:05+08:00
current,421.020,0,2026-03-01T11:12:05+08:00,2026-03-01T11:12:05+08:00
