mode,elapsed_ms,exit_code,start_at,end_at
baseline,58.087,0,2026-03-01T14:44:59+08:00,2026-03-01T14:44:59+08:00
current,54.120,0,2026-03-01T14:44:59+08:00,2026-03-01T14:44:59+08:00
