mode,load_ms,vm_init_ms,run_median_ms,run_mean_ms,run_min_ms,run_max_ms,run_variance_ms2,run_count,exit_code,start_at,end_at
baseline,NA,NA,1850.0,1850.857,1846.2,1892.1,23.074646,300,0,2026-03-13T18:11:14+08:00,2026-03-13T18:21:20+08:00
current,2.629,0.461,230.339,230.719,189.687,637.698,752.430274,300,0,2026-03-13T18:21:21+08:00,2026-03-13T18:22:47+08:00
