mode,elapsed_ms,exit_code,start_at,end_at
baseline,57.051,0,2026-03-01T13:18:09+08:00,2026-03-01T13:18:09+08:00
current,58.082,0,2026-03-01T13:18:09+08:00,2026-03-01T13:18:09+08:00
