mode,load_ms,vm_init_ms,run_median_ms,run_mean_ms,run_min_ms,run_max_ms,run_variance_ms2,run_count,exit_code,start_at,end_at
baseline,NA,NA,1832.1,1833.184,1829.6,1868.1,22.308233,300,0,2026-03-11T07:05:25+08:00,2026-03-11T07:15:23+08:00
current,4.035,3.782,2480.189,2480.056,2478.958,2481.397,0.472978,10,0,2026-03-11T07:15:23+08:00,2026-03-11T07:15:56+08:00
