# remote_host=100.121.87.73
# vmstat_interval_seconds=1
# started_local=2026-03-30T15:14:46+08:00
# started_remote=2026-03-30T15:14:46+08:00
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 408420 530728 753248    0    0     2     6    3    2  2  1 98  0  0
 0  0      0 408420 530728 753272    0    0     0     0 1012 1631  1  0 99  0  0
 0  1      0 402860 531096 756952    0    0  4100    28 2503 3780  2  3 92  4  0
 1  0      0 374856 531228 771996    0    0 15064     0 2065 2750 13  2 71 15  0
 0  1      0 351924 532076 786472    0    0 15148     0 2241 3139  7  2 75 16  0
 0  1      0 326976 532076 807204    0    0 20820   964 2223 3233  2  2 77 19  0
 0  1      0 298248 532076 824964    0    0 17668     0 1363 2002  7  1 74 18  0
 1  0      0 263472 532076 835628    0    0 10796     0 1294 1774 13  1 75 11  0
 0  1      0 230208 532076 854424    0    0 18660     0 1521 2251  7  1 74 18  0
 1  0      0 207560 531944 864472    0    0 10396   128 2334 3362 12  3 74 12  0
 3  0      0 185888 533176 870180    0    0  6720   712 3053 4240 15  3 74  8  0
 1  0      0 170516 533472 874300    0    0  4292     4 2908 4049 17  3 73  8  0
 1  0      0 164468 533472 874368    0    0    12     0 1313 1728 24  2 75  0  0
 0  1      0 149852 534496 874792    0    0  1588     0 1345 1597 22  1 75  2  0
 0  1      0 127172 534908 894596    0    0 20012     8 2008 2901  4  1 75 20  0
 1  1      0 103988 534908 915828    0    0 21232     0 1654 2611  1  2 85 12  0
 1  0      0  93160 534208 919604    0    0  5608   660 2211 3060 16  2 79  4  0
 1  0      0  92552 533280 913708    0    0  3908     0 3382 4583 18  4 73  6  0
 1  0      0  92380 531644 911372    0    0  6128  2040 3509 3610 13  6 69 12  0
# stopped_local=2026-03-30T15:15:05+08:00
 0  0      0 240580 531644 914756    0    0  3528     0 1251 1462 19  2 76  4  0
 0  0      0 240588 531644 914844    0    0     0     0  572  967  0  1 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 240336 531644 914980    0    0   136   608 1278 2051  1  1 97  1  0
 0  0      0 240336 531644 914980    0    0     0     0  605 1012  0  0 100  0  0
 0  0      0 240588 531644 914980    0    0     0     0  901 1395  1  1 99  0  0
 0  0      0 240588 531644 914980    0    0     0     0  892 1459  0  1 99  0  0
 1  0      0 240840 531644 914980    0    0     0     0  574  930  0  0 100  0  0
 0  0      0 240840 531644 914976    0    0     0     0  549  904  1  0 98  0  0
 0  0      0 240836 531644 914976    0    0     0     0  698 1139  1  0 99  0  0
 0  0      0 240840 531644 914976    0    0     0     0  572 1006  0  0 99  0  0
 0  0      0 240840 531644 914976    0    0     0    20 1235 1912  0  0 99  0  0
